target,parameter,accuracy,standard_deviation
target_original,dummy,0.9525000000000002,0.01616322987524458
target_partition1,dummy,0.063,0.014696938456699069
target_partition2,dummy,0.761,0.031048349392520054
target_partition3,dummy,0.7120000000000001,0.022383029285599376
target_partition4,dummy,0.7125,0.026669270706189158
target_partition5,dummy,0.6910000000000001,0.02718455443813635
target_partition6,dummy,0.692,0.01452583904633392
target_partition7,dummy,0.7349999999999999,0.020493901531919215
target_partition8,dummy,0.7115000000000001,0.02720753572082557
target_partition9,dummy,0.7740000000000001,0.022338307903688695
target_partition10,dummy,0.6585,0.01898025289610232
