target,parameter,accuracy,standard_deviation
target_original,1,0.9699999999999999,0.010000000000000007
target_original,2,0.976,0.006244997998398403
target_original,3,0.9810000000000001,0.008602325267042634
target_original,4,0.98,0.00741619848709567
target_original,5,0.98,0.006708203932499376
target_original,6,0.9789999999999998,0.007348469228349541
target_original,7,0.9769999999999999,0.008717797887081356
target_original,8,0.978,0.009000000000000008
target_original,9,0.9789999999999999,0.009165151389911688
target_partition1,1,0.07050000000000001,0.01192686044187656
target_partition1,2,0.0685,0.010012492197250393
target_partition1,3,0.06600000000000002,0.009695359714832659
target_partition1,4,0.0695,0.008499999999999999
target_partition1,5,0.072,0.009539392014169458
target_partition1,6,0.07100000000000001,0.01135781669160055
target_partition1,7,0.0715,0.010259142264341593
target_partition1,8,0.07300000000000001,0.010770329614269008
target_partition1,9,0.072,0.013999999999999997
target_partition2,1,0.769,0.03382306905057554
target_partition2,2,0.7939999999999999,0.03583294573433784
target_partition2,3,0.8155000000000001,0.036499999999999984
target_partition2,4,0.809,0.03292415526630864
target_partition2,5,0.8175,0.03763309713536741
target_partition2,6,0.8214999999999999,0.03924601890638079
target_partition2,7,0.828,0.027856776554368218
target_partition2,8,0.8270000000000001,0.029765752132274417
target_partition2,9,0.8279999999999998,0.03075711299845938
target_partition3,1,0.7,0.033166247903553984
target_partition3,2,0.735,0.021095023109729005
target_partition3,3,0.7565000000000001,0.028727164844446477
target_partition3,4,0.7605000000000001,0.024642443060703234
target_partition3,5,0.7685000000000002,0.030004166377355024
target_partition3,6,0.7685,0.025500000000000023
target_partition3,7,0.773,0.025612496949731417
target_partition3,8,0.7755,0.02402602755346793
target_partition3,9,0.7809999999999999,0.023216373532487795
target_partition4,1,0.7070000000000001,0.03565108693995177
target_partition4,2,0.741,0.04188078318274385
target_partition4,3,0.755,0.03640054944640261
target_partition4,4,0.762,0.04202380277890141
target_partition4,5,0.7694999999999999,0.03939860403618381
target_partition4,6,0.7679999999999998,0.03988734135035826
target_partition4,7,0.7755,0.04251176307799996
target_partition4,8,0.779,0.045099889135118726
target_partition4,9,0.779,0.036041642581880196
target_partition5,1,0.7024999999999999,0.03444198019858903
target_partition5,2,0.7415,0.030170349683091208
target_partition5,3,0.7544999999999998,0.03020347662107794
target_partition5,4,0.7630000000000001,0.033256578296631784
target_partition5,5,0.765,0.029916550603303182
target_partition5,6,0.7680000000000001,0.03264965543462902
target_partition5,7,0.7719999999999999,0.033778691508109075
target_partition5,8,0.7689999999999998,0.03389690251335659
target_partition5,9,0.772,0.029086079144497973
target_partition6,1,0.7125,0.030186917696247133
target_partition6,2,0.7505,0.024743686063317265
target_partition6,3,0.7755000000000001,0.019678668654154446
target_partition6,4,0.782,0.020999999999999998
target_partition6,5,0.785,0.02489979919597747
target_partition6,6,0.7815000000000001,0.015976545308670473
target_partition6,7,0.7815000000000001,0.023027157879338928
target_partition6,8,0.7809999999999999,0.025179356624028346
target_partition6,9,0.7835000000000001,0.022918333272731684
target_partition7,1,0.715,0.039874804074753765
target_partition7,2,0.758,0.03515679166249392
target_partition7,3,0.7660000000000001,0.03223352292257242
target_partition7,4,0.7724999999999999,0.03696281915655246
target_partition7,5,0.7735000000000002,0.03840898332421727
target_partition7,6,0.7795000000000001,0.03656842900645311
target_partition7,7,0.774,0.04042276586281549
target_partition7,8,0.7760000000000001,0.04073082370883259
target_partition7,9,0.7765000000000001,0.04566453766326774
target_partition8,1,0.7395,0.03102015473849221
target_partition8,2,0.7755000000000001,0.02328626204439004
target_partition8,3,0.7820000000000001,0.02315167380558045
target_partition8,4,0.7799999999999998,0.022360679774997897
target_partition8,5,0.7845,0.027699277968929084
target_partition8,6,0.7864999999999999,0.029753151093623677
target_partition8,7,0.7910000000000003,0.02745906043549195
target_partition8,8,0.7925,0.028744564703609605
target_partition8,9,0.7829999999999998,0.026
target_partition9,1,0.7455000000000002,0.035032128111206734
target_partition9,2,0.7905000000000001,0.03181587653986606
target_partition9,3,0.8085000000000001,0.024295061226512666
target_partition9,4,0.8055,0.02849999999999999
target_partition9,5,0.8104999999999998,0.02392174742781136
target_partition9,6,0.8140000000000001,0.02467792535850611
target_partition9,7,0.814,0.029563490998188946
target_partition9,8,0.8060000000000003,0.029223278392404902
target_partition9,9,0.8154999999999998,0.0227431308310883
target_partition10,1,0.703,0.013638181696985842
target_partition10,2,0.7294999999999999,0.022743130831088317
target_partition10,3,0.7390000000000001,0.01933907960581373
target_partition10,4,0.7430000000000001,0.020024984394500803
target_partition10,5,0.7434999999999999,0.019500000000000017
target_partition10,6,0.7464999999999997,0.019500000000000017
target_partition10,7,0.746,0.022781571499789058
target_partition10,8,0.7519999999999999,0.025416530054277693
target_partition10,9,0.7509999999999999,0.019849433241279225
