target,parameter,accuracy,standard_deviation
target_original,0.1,0.9660000000000001,0.01300000000000001
target_original,0.2,0.9804999999999998,0.010828203913853869
target_original,0.3,0.9769999999999999,0.013266499161421611
target_partition8,0.1,0.742,0.03515679166249389
target_partition8,0.2,0.7580000000000001,0.02238302928559941
target_partition8,0.3,0.7284999999999999,0.03795062581829187
target_partition9,0.1,0.7404999999999998,0.0312609980646812
target_partition9,0.2,0.7870000000000001,0.04032369030731189
target_partition9,0.3,0.7985000000000001,0.04248823366533374
target_partition10,0.1,0.6765000000000001,0.02345740821147979
target_partition10,0.2,0.7080000000000001,0.027586228448267438
target_partition10,0.3,0.7019999999999998,0.03565108693995176
