target,parameter,accuracy,standard_deviation
target_original,3,0.9830000000000001,0.01100000000000001
target_partition1,3,0.0685,0.01703672503740082
target_partition2,3,0.8135,0.021800229356591608
target_partition3,3,0.755,0.016124515496597113
target_partition4,3,0.7520000000000001,0.034942810419312305
target_partition5,3,0.755,0.019364916731037102
target_partition6,3,0.7685,0.031068472765811966
target_partition7,3,0.769,0.026814175355583846
target_partition8,3,0.784,0.02861817604250838
target_partition9,3,0.8025,0.021937410968480286
target_partition10,3,0.7304999999999999,0.02760887538455705
