target,parameter,accuracy,standard_deviation
target_original,0.1,0.0995,0.02184605227495348
target_original,0.2,0.10300000000000001,0.020880613017821098
target_partition1,0.1,0.19249999999999998,0.05631385264746143
target_partition1,0.2,0.207,0.06535288822997802
target_partition2,0.1,0.04950000000000001,0.04671455875848555
target_partition2,0.2,0.04,0.04306971093471606
target_partition3,0.1,0.037500000000000006,0.041487950057818
target_partition3,0.2,0.034,0.04066939881532552
target_partition4,0.1,0.0375,0.010307764064044152
target_partition4,0.2,0.023,0.008717797887081347
target_partition5,0.1,0.20299999999999993,0.06317436188834834
target_partition5,0.2,0.19899999999999998,0.05812916651733447
target_partition6,0.1,0.05500000000000002,0.016431676725154984
target_partition6,0.2,0.05150000000000002,0.01830983342360056
target_partition7,0.1,0.20500000000000004,0.0330907842155486
target_partition7,0.2,0.20499999999999993,0.035916569992135945
target_partition8,0.1,0.3055,0.037712729946266156
target_partition8,0.2,0.31000000000000005,0.040987803063838396
target_partition9,0.1,0.024999999999999994,0.012041594578792296
target_partition9,0.2,0.023500000000000007,0.014150971698084904
target_partition10,0.1,0.0305,0.009340770846134704
target_partition10,0.2,0.024499999999999997,0.008200609733428363
