,results_KNN_1,results_KNN_2,results_KNN_3,results_KNN_4,results_KNN_5,results_KNN_6,results_KNN_7,results_KNN_8,results_KNN_9,results_KNN_10,results_KNN_11,results_KNN_12,results_KNN_13,results_KNN_14,results_KNN_15,results_KNN_16,results_KNN_17,results_KNN_18,results_KNN_19,results_KNN_20,results_KNN_21,results_KNN_22,results_KNN_23,results_KNN_24,results_KNN_25,results_KNN_26,results_KNN_27,results_KNN_28,results_KNN_29,results_KNN_30,results_KNN_31,results_KNN_32,results_KNN_33,results_KNN_34,results_KNN_35,results_KNN_36,results_KNN_37,results_KNN_38,results_KNN_39,results_KNN_40,results_KNN_41,results_KNN_42,results_KNN_43,results_KNN_44,results_KNN_45,results_KNN_46,results_KNN_47,results_KNN_48,results_KNN_49,results_KNN_50
0,0.975,0.98,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.99,0.99,0.99,0.99,0.985,0.985,0.985,0.99,0.99,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
1,0.975,0.98,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.99,0.99,0.99,0.99,0.985,0.985,0.985,0.99,0.99,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
2,0.975,0.98,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.99,0.99,0.99,0.99,0.985,0.985,0.985,0.99,0.99,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
3,0.975,0.98,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.99,0.99,0.99,0.99,0.985,0.985,0.985,0.99,0.99,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
4,0.975,0.98,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.99,0.99,0.99,0.99,0.985,0.985,0.985,0.99,0.99,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
5,0.975,0.98,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.99,0.99,0.99,0.99,0.985,0.985,0.985,0.99,0.99,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
6,0.975,0.98,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.99,0.99,0.99,0.99,0.985,0.985,0.985,0.99,0.99,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
7,0.975,0.98,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.99,0.99,0.99,0.99,0.985,0.985,0.985,0.99,0.99,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
8,0.975,0.98,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.99,0.99,0.99,0.99,0.985,0.985,0.985,0.99,0.99,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
9,0.975,0.98,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.99,0.99,0.99,0.99,0.985,0.985,0.985,0.99,0.99,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
10,0.97,0.975,0.97,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.98,0.98,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.98,0.985,0.985,0.985,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.975,0.975,0.975,0.975,0.975,0.975,0.98,0.975,0.975,0.975
11,0.97,0.975,0.97,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.98,0.98,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.98,0.985,0.985,0.985,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.975,0.975,0.975,0.975,0.975,0.975,0.98,0.975,0.975,0.975
12,0.97,0.975,0.97,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.98,0.98,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.98,0.985,0.985,0.985,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.975,0.975,0.975,0.975,0.975,0.975,0.98,0.975,0.975,0.975
13,0.97,0.975,0.97,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.98,0.98,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.98,0.985,0.985,0.985,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.975,0.975,0.975,0.975,0.975,0.975,0.98,0.975,0.975,0.975
